run    ls  residual
317080 70 0.00166963482839
317080 71 0.000335083458463
317080 72 4.06636539611e-05
317080 73 0.0004780964584
317080 74 0.00161847609043
317080 75 0.00111416751885
317087 70 0.00166963482839
317087 71 0.000335083458463
317087 72 4.06636539611e-05
317087 73 0.0004780964584
317087 74 0.00161847609043
317087 75 0.00111416751885
317087 76 0.00075948048675
317087 77 0.000273829051907
317087 78 9.40463655778e-05
317087 79 0.000612788631575
317087 80 -1.33276130739e-05
317087 81 0.00096545672952
317087 82 8.36071384246e-05
317087 83 0.00104697607001
317087 84 0.00073193985813
317087 85 5.96498438567e-05
317087 86 -0.000318928370443
317087 87 -3.58219944998e-05
317087 88 -7.20407688947e-05
317087 89 -0.000643241713455
317087 90 -0.000216299171961
317087 91 5.59140504711e-05
317087 92 0.000290897110645
317087 93 0.00044038263293
317087 94 0.000454273524487
317087 95 0.000545463671296
317087 96 0.000225052768572
317087 97 -0.00025959451257
317087 98 0.0003109133601
317087 99 -0.000331054626031
317087 100 2.09847578785e-05
317087 101 -5.06601318965e-05
317087 102 -0.000172186574685
317087 103 -3.17718249803e-05
317087 104 -5.03440384741e-05
317087 105 6.42554456914e-06
317087 106 -0.00058056850706
317087 107 -0.00017562886317
317087 108 -0.000144985583068
317087 109 -2.10776054049e-05
317087 110 -0.000198048060718
317087 111 -0.000631176266862
317087 112 -0.000179906409095
317087 113 -0.000498410501153
317087 114 -0.000656893146116
317087 115 -0.000265611304384
317087 116 -0.000508749402193
317087 117 -0.0012507477416
317087 118 -0.000470313842262
317087 119 -0.000367296920444
317087 120 -0.00043696964469
317087 121 -0.00111806824243
317087 122 -0.000787534284984
317087 123 -0.000661926065373
317087 124 -0.000566889541361
317087 125 -0.000671285950091
317087 126 -0.000725660021898
317087 127 4.06941829469e-07
317087 128 0.000118712232434
317087 129 4.69547009035e-05
317087 130 0.00030470748256
317087 131 0.000730693221066
317087 132 0.000606607403776
317087 133 0.000355088755292
317087 134 -0.000145922211676
317087 135 3.47756360646e-05
317087 136 -0.00149363629042
317087 137 0.000104907015775
317087 138 0.00015810890648
317087 139 0.000314096610243
317087 140 -0.00148557102678
317087 141 0.00104570663
317087 142 0.0033865958423
317087 143 -0.00080052117566
317087 144 -0.00307201709023
317087 145 -0.00162331999706
317087 146 0.00368743400838
317087 147 0.00349251458509
317087 148 -5.06463936495e-05
317087 149 -0.000729238888075
317087 150 0.000696229501179
317087 151 0.0011474490711
317087 152 0.000438995006798
317087 153 0.00151802892382
317087 154 0.00140493585108
317087 155 0.00113049912007
317087 156 0.00134725202027
317087 157 0.000636664149023
317087 158 0.00145923474365
317087 159 -0.000124212932055
317087 160 0.00171447736017
317087 161 0.000565016461899
317087 162 -0.00658697648061
317087 163 0.000114101783746
317087 164 0.000347625769904
